variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_infer_off,8,51-100,11,74.0909090909091,1.0,0.3090909090909091,0.7912534435261708,1.0,1.0,0.0
chunk_infer_off,8,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_off,8,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_off,9,21-50,14,29.714285714285715,1.0,0.35,0.9761904761904762,1.0,0.9947619047619047,0.0
chunk_infer_off,9,51-100,11,74.0909090909091,1.0,0.3181818181818181,0.7935261707988981,1.0,0.9743538560205227,0.0
chunk_infer_off,9,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_off,9,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_on,0,21-50,14,29.714285714285715,1.0,0.32857142857142857,0.9404761904761905,1.0,0.9910714285714286,0.0
chunk_infer_on,0,51-100,11,74.0909090909091,0.9090909090909091,0.35454545454545455,0.8047520661157024,0.9090909090909091,0.9090909090909091,0.0
chunk_infer_on,0,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_on,0,>100,12,334.75,0.75,0.2916666666666667,0.6209967320261438,0.5257936507936508,0.5614707341269841,1.5
chunk_infer_on,1,21-50,14,29.714285714285715,1.0,0.2785714285714286,0.8873015873015874,0.8446428571428571,0.8383125472411186,0.0
chunk_infer_on,1,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.8555096418732782,1.0,0.9859026775693441,0.0
chunk_infer_on,1,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_on,1,>100,12,334.75,0.75,0.2833333333333334,0.618545751633987,0.5208333333333334,0.5555461073318216,1.5
chunk_infer_on,2,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9552437641723356,0.0
chunk_infer_on,2,51-100,11,74.0909090909091,1.0,0.38181818181818183,0.8767217630853995,1.0,1.0,0.0
chunk_infer_on,2,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_on,2,>100,12,334.75,0.8333333333333334,0.30000000000000004,0.6626633986928104,0.5439814814814815,0.5773437499999999,1.5
chunk_infer_on,3,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9682539682539683,1.0,0.9858333333333332,0.0
chunk_infer_on,3,51-100,11,74.0909090909091,1.0,0.34545454545454546,0.8358815426997246,1.0,0.996604938271605,0.0
chunk_infer_on,3,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_on,3,>100,12,334.75,0.8333333333333334,0.30000000000000004,0.6626633986928104,0.5409722222222223,0.5752604166666666,1.5
chunk_infer_on,4,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9910714285714286,0.0
chunk_infer_on,4,51-100,11,74.0909090909091,1.0,0.3727272727272727,0.8615702479338843,1.0,1.0,0.0
chunk_infer_on,4,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9194495319495319,0.0
chunk_infer_on,4,>100,12,334.75,0.75,0.275,0.6018790849673202,0.5166666666666666,0.5526171579743008,2.0
chunk_infer_on,5,21-50,14,29.714285714285715,1.0,0.32142857142857145,0.9365079365079365,1.0,0.9910714285714286,0.0
chunk_infer_on,5,51-100,11,74.0909090909091,1.0,0.3727272727272727,0.8706611570247934,1.0,0.9973169191919191,0.0
chunk_infer_on,5,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_on,5,>100,12,334.75,0.8333333333333334,0.30833333333333335,0.7067810457516339,0.5569444444444445,0.5956808495002939,1.0
chunk_infer_on,6,21-50,14,29.714285714285715,1.0,0.3428571428571428,0.9404761904761905,1.0,0.9910714285714286,0.0
chunk_infer_on,6,51-100,11,74.0909090909091,1.0,0.3818181818181818,0.8698347107438015,1.0,1.0,0.0
chunk_infer_on,6,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_on,6,>100,12,334.75,0.75,0.275,0.6018790849673202,0.5277777777777778,0.5567838246409674,1.5
chunk_infer_on,7,21-50,14,29.714285714285715,1.0,0.3357142857142857,0.9523809523809523,1.0,0.9808673469387755,0.0
chunk_infer_on,7,51-100,11,74.0909090909091,1.0,0.3727272727272727,0.8637741046831955,1.0,1.0,0.0
chunk_infer_on,7,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7435897435897435,0.8409513634513636,0.0
chunk_infer_on,7,>100,12,334.75,0.75,0.2833333333333334,0.618545751633987,0.5119047619047619,0.5474914965986394,2.0
chunk_infer_on,8,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9858333333333332,0.0
chunk_infer_on,8,51-100,11,74.0909090909091,1.0,0.34545454545454546,0.8380853994490358,1.0,1.0,0.0
chunk_infer_on,8,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_on,8,>100,12,334.75,0.75,0.2916666666666667,0.6352124183006537,0.5069444444444445,0.5474574829931972,2.0
chunk_infer_on,9,21-50,14,29.714285714285715,1.0,0.35,0.9761904761904762,1.0,0.9947619047619047,0.0
chunk_infer_on,9,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.8555096418732784,1.0,0.9743538560205227,0.0
chunk_infer_on,9,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_on,9,>100,12,334.75,0.75,0.275,0.6018790849673202,0.5347222222222222,0.5578420256991685,1.5
chunk_train_off,0,21-50,14,29.714285714285715,1.0,0.3142857142857142,0.9198412698412699,0.9523809523809524,0.9424603174603174,0.0
chunk_train_off,0,51-100,11,74.0909090909091,1.0,0.3181818181818182,0.8086088154269973,1.0,0.9752937538651825,0.0
chunk_train_off,0,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8333333333333334,0.9018487993487992,0.0
chunk_train_off,0,>100,12,334.75,0.6666666666666666,0.20000000000000004,0.46948529411764706,0.42037037037037034,0.413885214579659,5.0
chunk_train_off,1,21-50,14,29.714285714285715,1.0,0.2642857142857143,0.8285714285714285,1.0,0.9558862433862434,0.0
chunk_train_off,1,51-100,11,74.0909090909091,1.0,0.35454545454545455,0.835055096418733,0.9318181818181818,0.9318181818181818,0.0
chunk_train_off,1,<=20,13,13.153846153846153,1.0,0.3692307692307692,0.9407051282051282,0.8846153846153846,0.9359364401031068,0.0
chunk_train_off,1,>100,12,334.75,0.75,0.25000000000000006,0.6077205882352942,0.5119047619047619,0.530869708994709,1.5
chunk_train_off,2,21-50,14,29.714285714285715,0.9285714285714286,0.2357142857142857,0.7761904761904762,0.8660714285714286,0.8148677248677249,0.0
chunk_train_off,2,51-100,11,74.0909090909091,1.0,0.32727272727272727,0.8228650137741046,1.0,0.9800464967131632,0.0
chunk_train_off,2,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8858231583231583,0.0
chunk_train_off,2,>100,12,334.75,0.75,0.26666666666666666,0.5897467320261438,0.47222222222222215,0.50265009553204,2.0
chunk_train_off,3,21-50,14,29.714285714285715,0.9285714285714286,0.22142857142857145,0.7714285714285714,0.8660714285714286,0.7964451058201059,0.0
chunk_train_off,3,51-100,11,74.0909090909091,1.0,0.33636363636363636,0.8214187327823691,0.9545454545454546,0.9545454545454546,0.0
chunk_train_off,3,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_train_off,3,>100,12,334.75,0.75,0.275,0.593218954248366,0.5569444444444445,0.5286623677248677,1.0
chunk_train_off,4,21-50,14,29.714285714285715,1.0,0.32857142857142857,0.9444444444444444,1.0,0.990079365079365,0.0
chunk_train_off,4,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.859297520661157,0.8818181818181817,0.9001202501202502,0.0
chunk_train_off,4,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.8846153846153846,0.9368284493284494,0.0
chunk_train_off,4,>100,12,334.75,0.75,0.25833333333333336,0.610171568627451,0.49107142857142855,0.5066633597883597,3.0
chunk_train_off,5,21-50,14,29.714285714285715,0.9285714285714286,0.2571428571428572,0.7571428571428571,0.9285714285714286,0.884457671957672,0.0
chunk_train_off,5,51-100,11,74.0909090909091,1.0,0.3272727272727273,0.8153581267217631,1.0,0.984898088023088,0.0
