variant,seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
neg_on,4,0.96,0.35,0.8804131016042781,0.8195555555555555,0.8501326152683296,0.0,0.0129175124561727,0.1487889273356401
neg_on,5,0.94,0.3339999999999999,0.8474131016042783,0.8228571428571427,0.8518463340891913,0.0,0.0136556560250968,0.1349480968858131
neg_on,6,0.94,0.342,0.8538346702317291,0.8333333333333335,0.8627026895943563,0.0,0.0132865842406348,0.1418685121107266
neg_on,7,0.94,0.3419999999999999,0.8512464349376114,0.8183333333333335,0.8455310279667423,0.0,0.0127329765639416,0.1557093425605536
neg_on,8,0.94,0.3339999999999999,0.8432464349376114,0.8278571428571427,0.8602437263794407,0.0,0.0129175124561727,0.1487889273356401
neg_on,9,0.94,0.3299999999999999,0.8441680035650626,0.8166666666666665,0.8436415343915344,0.0,0.014578335486252,0.1280276816608996
chunk_train_off,0,0.92,0.2999999999999999,0.7913759655377303,0.8042222222222222,0.812266654069035,0.0,0.0156855508396383,0.1176470588235294
chunk_train_off,1,0.94,0.3079999999999999,0.8061483957219252,0.837857142857143,0.8434003527336862,0.0,0.0147628713784831,0.1314878892733564
chunk_train_off,2,0.92,0.2959999999999999,0.783152852049911,0.7825,0.7947232363315697,0.0,0.0147628713784831,0.1245674740484429
chunk_train_off,3,0.92,0.2959999999999999,0.7823346702317292,0.8061666666666667,0.8006071428571429,0.0,0.0134711201328658,0.1418685121107266
chunk_train_off,4,0.94,0.3259999999999999,0.8365144087938207,0.8218571428571428,0.8404232804232804,0.0,0.014393799594021,0.1349480968858131
chunk_train_off,5,0.92,0.3059999999999999,0.7775013368983958,0.8285238095238094,0.836821979717813,0.0,0.0140247278095589,0.1418685121107266
chunk_train_off,6,0.94,0.3359999999999999,0.8458575460487227,0.8265,0.8504395313681027,0.0,0.0125484406717106,0.1557093425605536
chunk_train_off,7,0.94,0.3039999999999999,0.7985013368983958,0.8316666666666666,0.8387109788359788,0.0,0.0129175124561727,0.1522491349480969
chunk_train_off,8,0.94,0.2959999999999999,0.7935369875222819,0.8323333333333334,0.8414745149911818,0.0,0.0142092637017899,0.1384083044982699
chunk_train_off,9,0.92,0.3159999999999999,0.8091353238265003,0.7796666666666667,0.8090498488284203,0.0,0.0129175124561727,0.1487889273356401
chunk_train_on,0,0.9,0.2579999999999999,0.7231885026737969,0.7721666666666667,0.7769145502645504,0.0,0.0134711201328658,0.1384083044982699
chunk_train_on,1,0.96,0.348,0.881913101604278,0.8528571428571428,0.8814119803476947,0.0,0.0123639047794796,0.1591695501730103
chunk_train_on,2,0.94,0.344,0.8591757278669044,0.8233333333333335,0.8511308515998991,0.0,0.0131020483484037,0.1487889273356401
chunk_train_on,3,0.94,0.342,0.8517084076054665,0.8206666666666667,0.8508041005291005,0.0,0.0132865842406348,0.1418685121107266
